[2021-05-16 03:43:50.151] Starting up round ID 8.
 - -------------------------
[2021-05-16 03:50:38.331] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Alo?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (220, 212, 3))
[2021-05-16 03:52:30.965] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Alguém?" (language: Galactic Common) (Brotherhood of Steel Operations Department (242, 241, 3))
[2021-05-16 03:52:32.794] TCOMMS: Dantesousa/(Dante Sousa) [BOS] (spans:  ) "Salve salve" (language: Galactic Common) (Brotherhood of Steel Operations Department (224, 220, 3))
[2021-05-16 03:52:42.714] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Opa." (language: Galactic Common) (Brotherhood of Steel Operations Department (242, 245, 3))
[2021-05-16 03:52:43.469] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "Escrivão presente." (language: Galactic Common) (Brotherhood of Steel Medbay (237, 218, 3))
[2021-05-16 03:52:54.743] TCOMMS: Dantesousa/(Dante Sousa) [BOS] (spans:  ) "Head paladin." (language: Galactic Common) (Brotherhood of Steel Operations Department (224, 221, 3))
[2021-05-16 03:52:56.969] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Star Paladine" (language: Galactic Common) (Brotherhood of Steel Operations Department (240, 242, 3))
[2021-05-16 03:53:19.441] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Algum paladino?" (language: Galactic Common) (Brotherhood of Steel Leisure Areas (228, 248, 3))
[2021-05-16 03:55:49.745] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Estou subindo..." (language: Galactic Common) (Brotherhood of Steel Operations Department (227, 239, 3))
[2021-05-16 03:56:08.289] TCOMMS: Baeiou/(Roderick Malkav) [BOS] (spans:  ) "Iniciando operações?" (language: Galactic Common) (Brotherhood of Steel RnD Department (243, 200, 3))
[2021-05-16 03:56:14.820] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ainda não." (language: Galactic Common) (Brotherhood of Steel (138, 234, 2))
[2021-05-16 03:56:34.980] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Estou checando o base, para ver se está tudo em ordem." (language: Galactic Common) (Brotherhood of Steel (139, 231, 2))
[2021-05-16 03:56:51.651] TCOMMS: Italos/(Josef Polson) [Common] (spans:  ) "Alguem?" (language: Galactic Common) (Wasteland (56, 30, 2))
[2021-05-16 03:57:47.141] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Caso alguém saia da base, avise. Temos inimigos la fora." (language: Galactic Common) (Brotherhood of Steel (165, 231, 2))
[2021-05-16 03:57:53.860] TCOMMS: Dantesousa/(Dante Sousa) [BOS] (spans:  ) "Ok." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (220, 224, 3))
[2021-05-16 03:58:34.014] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "E não atire em estranhos antes deles atirarem na gente, sigam as regurlamentações  do capitulo." (language: Galactic Common) (Brotherhood of Steel (140, 241, 2))
[2021-05-16 03:58:46.598] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Alo alo testando" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 216, 3))
[2021-05-16 03:58:55.119] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Paladino na escuta" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 216, 3))
[2021-05-16 03:58:55.247] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Testado, meu bom" (language: Galactic Common) (Brotherhood of Steel (132, 233, 2))
[2021-05-16 03:59:04.212] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Um paladino que bom" (language: Galactic Common) (Brotherhood of Steel (133, 237, 2))
[2021-05-16 03:59:20.261] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Joseph né?" (language: Galactic Common) (Brotherhood of Steel Operations Department (230, 230, 3))
[2021-05-16 03:59:28.082] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Isso mesmo" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (220, 216, 3))
[2021-05-16 03:59:34.496] TCOMMS: shirozinha/(Joseph Joestar) [BOS] (spans:  ) "Alguma orden?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (220, 216, 3))
[2021-05-16 04:01:48.878] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Quem quiser falar comigo, qualquer coisa estou em minha sala." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 213, 3))
[2021-05-16 04:02:05.218] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Ultima sala, perto das salas dos paladinos." (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (219, 213, 3))
[2021-05-16 04:04:06.747] TCOMMS: Kaduh/(B.U.G.) [Common] (spans: robot ) "AHHH" (language: Galactic Common) (Wasteland (12, 188, 2))
[2021-05-16 04:04:13.310] TCOMMS: Kaduh/(B.U.G.) [Common] (spans: robot ) "Onde eu to" (language: Galactic Common) (Wasteland (18, 183, 2))
