[2021-05-17 01:43:31.067] Starting up round ID 13.
 - -------------------------
[2021-05-17 02:04:16.266] TCOMMS: DanteThanatos/(Dr Oswald Casket) [Common] (spans:  ) "Sério?" (language: Galactic Common) (Followers of the Apocalypse (88, 55, 3))
[2021-05-17 02:05:53.425] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Ola a todos" (language: Galactic Common) (Followers of the Apocalypse (107, 43, 3))
[2021-05-17 02:06:30.422] TCOMMS: Eversonblr/(Miguel Hastings) [BOS] (spans:  ) "Alguem ai ?" (language: Galactic Common) (Brotherhood of Steel Reactor (217, 206, 3))
[2021-05-17 02:08:53.874] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Qual a nossa missão mesmo?" (language: Galactic Common) (Followers of the Apocalypse (102, 43, 3))
[2021-05-17 02:09:09.546] TCOMMS: Baeiou/(Roderick Malkav) [Medical] (spans:  ) "Você não se lembra?" (language: Galactic Common) (Followers of the Apocalypse (94, 52, 2))
[2021-05-17 02:09:25.816] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Mais ou menos" (language: Galactic Common) (Followers of the Apocalypse (85, 52, 3))
[2021-05-17 02:09:35.343] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Nao gostamos muito da legion" (language: Galactic Common) (Followers of the Apocalypse (85, 49, 3))
[2021-05-17 02:10:16.266] TCOMMS: SondTheAnime/(Courier) [BOS] (spans:  ) "Alo, alguém na escuta?" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (221, 223, 3))
[2021-05-17 02:10:44.809] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Bem... Desejamos providenciar uma melhor condição de vida para todos..." (language: Galactic Common) (Followers of the Apocalypse (94, 53, 2))
[2021-05-17 02:10:54.307] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Tratamos e educamos aqueles que desejam..." (language: Galactic Common) (Followers of the Apocalypse (94, 53, 2))
[2021-05-17 02:11:18.160] TCOMMS: Kaduh/(Tim Miller) [Medical] (spans:  ) "Ata lembrei por isso mesmo virei medico" (language: Galactic Common) (Followers of the Apocalypse (90, 48, 2))
[2021-05-17 02:11:42.413] TCOMMS: Dantesousa/(Dante Sousa) [Medical] (spans:  ) "Yun é a nossa guarda?" (language: Galactic Common) (Followers of the Apocalypse (86, 47, 3))
[2021-05-17 02:11:50.260] TCOMMS: FidgetyBacchus/(Yun-Seo Kierst) [Medical] (spans:  ) "Sim." (language: Galactic Common) (Caves (91, 72, 3))
[2021-05-17 02:12:14.237] TCOMMS: Dantesousa/(Dante Sousa) [Medical] (spans:  ) "Cuidado com os invasores por favor, e lembre-seque sempre podemos te trazer devolta se algo ruim acontecer" (language: Galactic Common) (Followers of the Apocalypse (85, 55, 3))
