[2021-05-22 22:06:27.723] Starting up round ID 29.
 - -------------------------
[2021-05-22 22:11:34.431] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Alo" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (248, 198, 3))
[2021-05-22 22:12:27.925] TCOMMS: Dantesousa/(Declan Smith) [BOS] (spans:  ) "Eae" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (240, 209, 3))
[2021-05-22 22:12:33.782] TCOMMS: Goldencatc/(Giorno Giovanna II) [Legion] (spans:  ) "Alguém/" (language: Galactic Common) (Legion (222, 36, 2))
[2021-05-22 22:12:37.328] TCOMMS: Goldencatc/(Giorno Giovanna II) [Legion] (spans:  ) "Alguém?" (language: Galactic Common) (Legion (222, 38, 2))
[2021-05-22 22:13:10.470] TCOMMS: Josinhodasquebrada/(Belzebuth Azazel) [BOS] (spans:  ) "Opa" (language: Galactic Common) (Brotherhood of Steel 1st Floor Offices (229, 213, 3))
[2021-05-22 22:13:15.765] TCOMMS: Dantesousa/(Declan Smith) [BOS] (spans:  ) "Eae" (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 225, 3))
[2021-05-22 22:13:53.887] TCOMMS: Luiz20/(Luiz Borgos Primeiro) [BOS] (spans:  ) "Alou" (language: Galactic Common) (Brotherhood of Steel Operations Department (231, 227, 3))
[2021-05-22 22:16:14.832] TCOMMS: AlexAlbright/(Alex Magnus Primeiro) [Legion] (spans:  ) "Centurion" (language: Galactic Common) (Legion (245, 39, 2))
[2021-05-22 22:18:18.673] TCOMMS: Goldencatc/(Giorno Giovanna II) [Legion] (spans:  ) "Quero todos legionários na base." (language: Galactic Common) (Wasteland (219, 63, 2))
[2021-05-22 22:22:34.026] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "A gente nao tem muita coisa... nos mais ajudamos as pessoas" (language: Galactic Common) (Followers of the Apocalypse (90, 52, 2))
[2021-05-22 22:22:49.258] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Sim. Este o propósito." (language: Galactic Common) (Followers of the Apocalypse (90, 45, 2))
[2021-05-22 22:23:49.077] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Sim é que muita gente que vira seguidor as vezes desanimar ao ver que vão passar o resto da vida na pobreza... ainda bem que existem pessoas como voce" (language: Galactic Common) (Followers of the Apocalypse (94, 53, 2))
[2021-05-22 22:25:06.796] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Uh... Claro. Erika, alguma dúvida?" (language: Galactic Common) (Followers of the Apocalypse (85, 58, 3))
[2021-05-22 22:25:34.397] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Por enquanto nao... como nao sei medicina vou fica cuidado dos jardins..." (language: Galactic Common) (Followers of the Apocalypse (94, 54, 2))
[2021-05-22 22:25:53.082] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Vou plantas algumas ervas medicinais" (language: Galactic Common) (Followers of the Apocalypse (94, 54, 2))
[2021-05-22 22:26:08.786] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Posso cuidado da recepção tambem" (language: Galactic Common) (Followers of the Apocalypse (92, 57, 2))
[2021-05-22 22:26:09.326] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Tem certeza que não teria, Erika? Quase todos teriam capacidades básicas de primeiros socorros." (language: Galactic Common) (Followers of the Apocalypse (104, 37, 3))
[2021-05-22 22:26:16.291] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Não. Não. Está bem." (language: Galactic Common) (Followers of the Apocalypse (106, 34, 3))
[2021-05-22 22:26:29.826] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Eu sei primeiros socorros" (language: Galactic Common) (Followers of the Apocalypse (91, 54, 2))
[2021-05-22 22:26:48.899] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Mas nao consigo mexer nem com a quimica e com os spleers" (language: Galactic Common) (Followers of the Apocalypse (90, 54, 2))
[2021-05-22 22:27:03.682] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Alias voce quer que eu instale um spleer aqui em cima?" (language: Galactic Common) (Followers of the Apocalypse (90, 54, 2))
[2021-05-22 22:27:05.747] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Certo... Apenas equipamentos avançados." (language: Galactic Common) (Followers of the Apocalypse (81, 52, 2))
[2021-05-22 22:27:10.071] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Não. Não. Está bem." (language: Galactic Common) (Followers of the Apocalypse (82, 53, 2))
[2021-05-22 22:27:15.054] TCOMMS: baeiou/(Roderick Malkav) [Medical] (spans:  ) "Já há um aqui." (language: Galactic Common) (Followers of the Apocalypse (82, 53, 2))
[2021-05-22 22:27:43.953] TCOMMS: Kaduh/(Erika Miller) [Medical] (spans:  ) "Ok" (language: Galactic Common) (Wasteland (94, 62, 2))
[2021-05-22 22:28:21.593] TCOMMS: Darkrazor191/(Nero Vilontius) [Legion] (spans:  ) "Alguem ai?" (language: Galactic Common) (Legion (220, 16, 2))
